epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,17177.5,1.31044,1.25762,1.65108,0.80697,0.71036,0.79538,0.48469,1.42871,1.1432,1.72661,0.000134534,0.000134534,0.000134534
155,17288,1.31619,1.25852,1.6582,0.80625,0.7109,0.79635,0.48448,1.43207,1.13361,1.73263,0.00012932,0.00012932,0.00012932
156,17399.2,1.32291,1.27811,1.66282,0.8054,0.71847,0.79645,0.48408,1.4333,1.12941,1.732,0.000124198,0.000124198,0.000124198
157,17511.1,1.30939,1.24267,1.65049,0.80198,0.71804,0.79572,0.4847,1.43056,1.12647,1.72759,0.00011917,0.00011917,0.00011917
158,17621.9,1.31638,1.25228,1.65523,0.80553,0.71548,0.7962,0.4857,1.43135,1.12039,1.72956,0.000114236,0.000114236,0.000114236
159,17733.1,1.31288,1.24749,1.64572,0.80933,0.71569,0.797,0.48667,1.42953,1.11792,1.72657,0.000109398,0.000109398,0.000109398
160,17845.3,1.31417,1.24682,1.64511,0.81106,0.71251,0.79666,0.48623,1.42719,1.12565,1.7264,0.000104657,0.000104657,0.000104657
161,17956.5,1.30412,1.24124,1.63823,0.81317,0.71353,0.79639,0.48596,1.42424,1.1228,1.72281,0.000100014,0.000100014,0.000100014
162,18067.4,1.31003,1.25392,1.64747,0.81747,0.7087,0.79623,0.4854,1.43036,1.12964,1.72909,9.54705e-05,9.54705e-05,9.54705e-05
163,18179.6,1.30929,1.24822,1.65273,0.81034,0.70641,0.79541,0.48482,1.43492,1.13039,1.73156,9.10274e-05,9.10274e-05,9.10274e-05
164,18290.5,1.30674,1.24523,1.64584,0.80941,0.70819,0.79557,0.48564,1.43374,1.1361,1.73012,8.66858e-05,8.66858e-05,8.66858e-05
165,18401.5,1.30666,1.25047,1.64565,0.81336,0.70828,0.79648,0.48618,1.43381,1.12997,1.73135,8.24469e-05,8.24469e-05,8.24469e-05
166,18513.3,1.30858,1.25038,1.64493,0.81687,0.70599,0.79681,0.48636,1.43624,1.13297,1.73408,7.83115e-05,7.83115e-05,7.83115e-05
167,18625.2,1.30457,1.25049,1.64833,0.80073,0.71931,0.79729,0.48558,1.43568,1.13633,1.73394,7.42808e-05,7.42808e-05,7.42808e-05
168,18736,1.3178,1.25735,1.65372,0.80357,0.71978,0.79817,0.48502,1.43676,1.13612,1.73493,7.03558e-05,7.03558e-05,7.03558e-05
169,18847.7,1.29508,1.21622,1.6345,0.80259,0.71643,0.79689,0.4847,1.43938,1.1386,1.73691,6.65374e-05,6.65374e-05,6.65374e-05
170,18959.7,1.30718,1.24003,1.64263,0.80454,0.71372,0.79738,0.48547,1.43699,1.14372,1.73343,6.28266e-05,6.28266e-05,6.28266e-05
171,19078.9,1.23907,0.99336,1.59373,0.81359,0.70996,0.79719,0.48512,1.4391,1.1621,1.73317,5.92243e-05,5.92243e-05,5.92243e-05
172,19188.3,1.23804,0.96783,1.58912,0.80951,0.71448,0.79723,0.48459,1.44078,1.17417,1.73561,5.57313e-05,5.57313e-05,5.57313e-05
